strategy,regime,trades,profit_pct,drawdown_pct,win_rate,profit_factor,sharpe,sortino,expectancy,max_consecutive_losses,avg_duration
RSIDivergence,full_12m,61,49.78,3.64,82.0,5.64,2.33,1.81,0.8160655737704918,2,"2 days, 15:52:00"
RSIDivergence,haussier,10,6.64,2.21,80.0,3.76,3.24,-100.0,0.6639999999999999,1,"2 days, 7:36:00"
RSIDivergence,stable,8,3.55,1.0,75.0,4.5,3.05,-100.0,0.44375,1,"2 days, 9:30:00"
RSIRangeMeanRevert,baissier,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0:00
RSIRangeMeanRevert,full_12m,51,9.48,16.79,76.5,1.27,0.26,0.28,0.18588235294117647,4,"3 days, 23:41:00"
RSIRangeMeanRevert,haussier,19,11.51,5.41,89.5,2.81,4.4,4.69,0.6057894736842105,2,"1 day, 22:32:00"
RSIRangeMeanRevert,stable,4,3.12,0.94,75.0,4.2,1.54,-100.0,0.78,1,"3 days, 7:00:00"
RangeBreakoutVolume,baissier,6,8.78,0.0,100.0,0.0,12.51,-100.0,1.4633333333333332,0,13:20:00
RangeBreakoutVolume,full_12m,47,7.84,4.94,40.4,1.55,0.46,1.32,0.16680851063829788,8,12:28:00
RangeBreakoutVolume,haussier,2,-1.58,1.58,0.0,0.0,-4.34,-4.34,-0.79,2,7:00:00
RangeBreakoutVolume,stable,7,-0.42,2.6,28.6,0.85,-0.27,-0.57,-0.06,4,11:43:00
SmartMoneyConcepts,baissier,8,4.09,1.59,75.0,3.46,1.62,-100.0,0.51125,1,14:38:00
SmartMoneyConcepts,full_12m,77,48.1,3.4,64.9,3.61,2.09,3.76,0.6246753246753247,4,18:35:00
SmartMoneyConcepts,haussier,11,0.97,2.26,45.5,1.29,0.63,1.34,0.08818181818181818,3,18:00:00
SmartMoneyConcepts,stable,4,5.61,0.0,100.0,0.0,131.33,-100.0,1.4025,0,14:15:00
SuperTrendADX,baissier,3,-0.7,1.08,33.3,0.35,-0.63,-1.69,-0.2333333333333333,2,17:20:00
SuperTrendADX,full_12m,49,25.27,7.62,65.3,3.27,0.81,0.31,0.5157142857142857,3,"4 days, 12:29:00"
SuperTrendADX,haussier,1,-3.06,3.06,0.0,0.0,-100.0,-100.0,-3.06,1,"8 days, 16:00:00"
SuperTrendADX,stable,3,2.88,0.0,100.0,0.0,1.31,-100.0,0.96,0,16:00:00
TripleScreenElder,baissier,3,5.19,0.0,100.0,0.0,3.64,-100.0,1.7300000000000002,0,"1 day, 2:40:00"
TripleScreenElder,full_12m,7,10.0,0.0,100.0,0.0,0.93,-100.0,1.4285714285714286,0,21:09:00
TripleScreenElder,haussier,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0:00
TripleScreenElder,stable,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0:00
VolatilityBreakout,baissier,2,1.41,0.0,100.0,0.0,0.95,-100.0,0.705,0,1:30:00
VolatilityBreakout,full_12m,34,10.79,0.28,85.3,13.89,1.69,5.29,0.31735294117647056,2,8:51:00
VolatilityBreakout,haussier,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0:00
VolatilityBreakout,stable,4,0.02,0.3,50.0,1.05,0.05,0.07,0.005,1,4:30:00
VolumeProfileAccumulation,baissier,8,-12.63,18.89,75.0,0.33,-1.13,-173.8,-1.57875,2,"1 day, 17:30:00"
VolumeProfileAccumulation,full_12m,38,11.02,20.68,68.4,1.35,0.18,0.13,0.29,3,"3 days, 0:51:00"
VolumeProfileAccumulation,haussier,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0:00
VolumeProfileAccumulation,stable,2,2.54,0.0,100.0,0.0,2.49,-100.0,1.27,0,"1 day, 10:00:00"
WyckoffAccumulation,baissier,3,4.1,3.51,66.7,2.17,0.48,-100.0,1.3666666666666665,1,"1 day, 6:40:00"
WyckoffAccumulation,full_12m,15,33.29,8.13,80.0,3.93,0.51,1.3,2.219333333333333,3,"3 days, 0:32:00"
WyckoffAccumulation,haussier,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0:00
WyckoffAccumulation,stable,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0:00
ZScoreMeanReversion,baissier,1,2.48,0.0,100.0,0.0,-100.0,-100.0,2.48,0,"2 days, 4:00:00"
ZScoreMeanReversion,full_12m,8,10.27,0.0,100.0,0.0,0.69,-100.0,1.28375,0,"1 day, 22:00:00"
ZScoreMeanReversion,haussier,1,1.05,0.0,100.0,0.0,-100.0,-100.0,1.05,0,"1 day, 0:00:00"
ZScoreMeanReversion,stable,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0:00
